index,mturk_ids
0,abeb61a6-4a2d-461f-9acd-17b0d0d9f3eb
1,ce45b05f-c90f-42e1-aac5-68bd775de5c0
2,74484c26-a294-4b47-87e6-a922e2e614ec
3,430174bb-a0bd-47ad-a2e9-8f44c42f5a12
4,8cdbb6c7-3e72-420b-99ce-fd181b263fde
5,e30546c7-ecef-45fb-93c6-d652c518be82
6,ea1c1764-21fc-49a1-a46d-b21137faef95
7,03bd160b-5c23-4e06-80a2-f73c7fec1668
8,fc7343fa-3ba0-428b-8fab-a6b27b47208c
9,2562a606-3359-439e-b1aa-7d25671efa4d
10,0227152c-c562-49bb-838b-b0156d292a08
11,57e2d8f7-17f9-4e5d-aaac-e4617d8c68c4
12,a6e99a58-42da-4a77-90cd-91572a2a0408
13,5f7cca70-cc29-4f1b-9e84-d6b89a93ab69
14,7ee2bb8b-dc52-43a7-8e0b-c76dd87ca7ea
15,4069d69e-8ebf-46d2-8185-37bf7835c6f9
16,58b151a7-a725-47b0-b93c-74fe79896a84
17,4c216a9a-40a0-4892-ac9f-b1fe07e57da4
18,bed43a06-14f8-4cbd-9471-999f067f57fd
19,d15b1f01-3ce3-44e5-91e6-31e6e3c38350
20,c8f0171d-c7c5-43cf-ba0a-061f4c6f88f1
21,c51f3655-f8c3-46de-86c1-cea709cc6ac1
22,e8c64b6f-f4c5-4945-a76f-4d371da546ab
23,5a0a2109-4d83-4404-a3b1-cc7a6bf990b8
24,7ec38e46-6ad2-4ed7-a5ea-ad1c9b6e747a
25,b8401ad0-fe46-4a57-b572-a6deaeb924b4
26,e6d55aa1-c282-4042-97c5-9d5b7a00c3ac
27,219437ad-d9e9-4913-87a6-08cbb7f1311b
28,b88cfeee-3a34-4344-bb58-a876fc61ac88
29,7f9b09cb-f41e-436b-af63-466bc0ea0bb8
30,93a47e3e-c189-4509-8ac8-f9047b69a911
31,41c75a1c-ba36-4907-b98a-10b1b8ca5fb7
32,033a1165-4d4d-4d35-902b-e1fbffc91180
33,a61262f1-bf66-4aba-8e7a-1901befa2ec9
34,78383b93-0698-4f1d-b07c-dac9277ba956
35,0957ca6f-5ff4-4674-a8f0-c2efd245db1e
36,691fc309-8364-4950-a537-61b2ab36898b
37,bcdb7dc7-60b8-4a10-9e9c-db826ff7c73d
38,573becbd-b954-42fb-afab-0f6e4c86852e
39,8388b9d4-ecc4-42e5-9b5a-9d9d9688fbc2
40,c4e15dc3-2a7f-4de2-b7d0-2781a04787db
41,51fad536-6207-45c1-84e1-1b33292d852f
42,fe278236-7823-446d-8ccc-32c1a8ffc2e0
43,b9f66e57-1fe2-46f2-8abc-80a524565d2b
44,7165f462-ef3f-48d0-b23d-2afe2876fbad
45,d866d4f9-f6ee-4968-8f36-c1d762ff8c5c
46,82d00b04-6a64-4b1f-b037-3bbb752c3069
47,f3e2a59b-5546-431f-8ed9-845d4cfd8177
48,e6994a39-ff73-4c4f-874d-59ff69e7cfa4
49,b9b5e059-8f51-474d-9780-df0279363380
50,c5ee1b93-a07e-4746-a47c-65377d6b36bb
51,2b534311-5bfb-409d-a64d-658a96a72dfc
52,41570b85-2cf4-4812-8e9b-4554cc035678
53,91905cfe-bfd8-4a9a-b705-a55a1036891e
54,af5ae118-207e-4e83-b4ea-bcef765c5f87
55,85d700f6-5316-48af-82d6-e6a88cbb39d1
56,442c7d81-126f-49fe-9143-59df768375ed
57,6e0c2046-5304-4152-a743-e19383e5e4c4
58,b0f280e2-c727-4453-9db0-566120dd0928
59,d203b39c-8229-475b-83d1-d681f38de85e
60,bb471b18-9e78-4e2a-97d5-3e5ef4bf4c43
61,a1cfc152-e0d2-47d8-a702-be549a448418
62,31e0e03e-9627-4050-b195-cfed6dfd968c
63,6913f36b-8657-4055-b60c-18d322ca6e36
64,d503943e-f884-4485-96c8-efea32a3d370
65,59f7a77e-315e-4072-be52-b9140d91c274
66,382ed676-b8bd-40d4-8982-322ee13608b9
67,73536988-a183-412b-84a0-57bf8b7d4d64
68,eece9dab-1916-4692-af5c-b91f4c0dfbe4
69,7ab94294-eca1-406e-857e-192393ad60c2
70,d9369eae-b2b0-4f2c-bba6-45026a85d402
71,dc5d0c0d-d935-4905-9e35-5b581e72ade3
72,2122ef9d-4dec-418b-9a8e-c97bd923d406
